,school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
106,8405,144.95566,-37.79701,0,Parkville,Melbourne - Inner,Education,Melbourne City,20400900000,176.710470557,481012.810006,85,208899.552075,77137.666385,104407.296859,20756.9603117,0.0,69811.3343767,0.0,0.721030345416,99.3624833533,1.50615689061,0.778038549907,1.96949824492,4.25369368543
107,8368,144.96188,-37.76969,83,Brunswick,Melbourne - Inner,Commercial,Brunswick - Coburg,20462601000,125.613156437,692602.610011,87,279084.479011,0.0,35290.1384431,232011.621241,143014.945375,3201.42593989,0.0,0.634609199067,57.5138615108,0.396293822901,-0.222223323099,1.45518928068,1.62925978048
108,8345,144.92664,-37.73695,0,Strathmore,Melbourne - North West,Education,Keilor,20451130000,88.9151950373,348646.820006,31,173441.394726,9249.88414154,55688.1196629,0.0,0.0,0.0,106455.458308,0.565292178428,31.2383485059,-0.400807017322,-0.850258194866,1.04267027815,-0.208394934037
109,8337,145.03416,-37.87398,0,Caulfield - North,Melbourne - Inner South,Education,Glen Eira,20191210000,78.0820598313,550702.685007,43,403066.971611,132712.471419,6312.2911365,8610.95084046,0.0,0.0,0.0,0.353352365739,46.8416806307,-0.636108948153,-0.477308799422,-0.218624557079,-1.33204230465
110,8245,144.96503,-37.78348,0,Carlton North - Princes Hill,Melbourne - Inner,Education,Yarra,20636660000,82.404198959,570359.285009,47,340615.781393,205859.912098,23883.5915181,0.0,0.0,0.0,0.0,0.415510268222,60.7471582602,-0.542229599032,-0.144941364456,0.151289148026,-0.535881815463
111,8180,144.98972,-37.77416,0,Northcote,Melbourne - Inner,Education,Darebin - South,20141630000,124.360624549,587002.520008,73,398220.744555,121204.703307,29769.1793755,12748.7143612,0.0,0.0,25059.1784105,0.492304798971,53.7587770868,0.369088109493,-0.311977002286,0.608308260093,0.665419367299
112,8135,144.97186,-37.83589,0,Albert Park,Melbourne - Inner,Education,Port Phillip,20631963090,166.119334358,674214.11501,112,207664.252156,145224.801774,62411.3366779,256454.538079,2459.18632332,0.0,0.0,0.669021049596,156.580631589,1.27611131747,2.14566141547,1.6599808618,5.08175359475
113,8025,144.99532,-37.83683,0,South Yarra - East,Melbourne - Inner,Education,Stonnington - West,20545740000,193.195180154,574548.495008,111,212078.93075,71430.3812012,18488.4578748,253324.085424,0.0,0.0,19226.6397577,0.623056551593,143.41032035,1.86421426953,1.83086585929,1.38643724014,5.08151736896
114,8003,145.00226,-37.81648,0,Richmond (Vic.),Melbourne - Inner,Education,Yarra,20644450000,151.147414358,800542.970011,121,527844.89954,29846.6871879,35383.3818615,185851.853109,6334.32974538,15281.8185679,0.0,0.507728269897,93.6656171255,0.95091259918,0.641872582369,0.700096319985,2.29288150154
115,7947,144.92558,-37.78791,0,Kensington (Vic.),Melbourne - Inner,Education,Melbourne City,20448980000,130.492907367,659039.650011,86,525491.229247,40630.5319717,14133.6010027,69353.7365844,3899.46130012,0.0,5531.08990521,0.381391543259,76.7747809321,0.502284821252,0.238149384241,-0.0517579861347,0.688676219359
