school_no, longitude, latitude, person, sa2_name_2016, sa4_name_2016, mb_category_name_2016, sa3_name_2016, mb_code_2016, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Education, LUM_Commercial, LUM_Industrial, LUM_Hospital/Medical, LUM_Transport, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
7384,144.96477,-37.82823,0,"Southbank","Melbourne - Inner","Commercial","Melbourne City","20394783000",188.25620162663725,515255.2700089909,97,162702.95379151375,9264.604978759831,37680.45972923562,134150.1176003081,114332.08122452818,0.0,57125.05268466103,0.7995274038119149,295.2544473060092,1.7569368136847896,5.46023008078704,2.4366494284496247,9.653816322921454
7366,145.04082,-37.82314,54,"Hawthorn","Melbourne - Inner East","Education","Boroondara","20069812000",114.06817463565677,736401.7200091347,84,492959.8566113543,37624.16310733053,102010.31563733332,82510.04791785855,0.0,0.0,12308.52563138539,0.5181426004518787,85.72863501754554,0.1455301743690894,0.45216357309270383,0.7620740162700801,1.3597677637318735
7300,145.02538,-37.74007,0,"Preston - East","Melbourne - North East","Education","Darebin - North","20146450000",56.39148888839509,602927.865006184,34,332549.47940642625,27489.12553857453,42557.29973311216,160631.1440810556,39700.81624658774,0.0,0.0,0.6103093548999496,34.918818502140226,-1.107240631331972,-0.7622879428024874,1.3105762060690391,-0.5589523680654203
6261,145.0257,-37.76204,89,"Thornbury","Melbourne - Inner","Education","Darebin - South","20141980000",62.57132152889803,479452.8750067194,30,224406.01377851132,101804.91105527699,39297.79834320693,0.0,113944.15182973369,0.0,0.0,0.632553907707393,34.994526094790665,-0.973011110064652,-0.7604783869535457,1.4429578441016087,-0.2905316529165891
6212,144.9905,-37.80298,0,"Collingwood","Melbourne - Inner","Education","Yarra","20639680000",132.3242453860531,597018.3300083763,79,281666.3460594674,4989.776146160904,31034.297742980067,106895.65840805168,172432.2516520943,0.0,0.0,0.6242805640402961,78.16764633969353,0.5420625369103161,0.2714415238662582,1.393721575063636,2.2072256358402105
5489,145.02003,-37.88805,0,"Caulfield - South","Melbourne - Inner South","Education","Glen Eira","20182270000",74.04229865300312,607760.7100083572,45,518209.4745849005,0.0,13613.987392226234,74538.1950746386,0.0,0.0,0.0,0.2452166955001452,42.389698720318535,-0.7238548857123219,-0.5837196576112361,-0.8621608547021128,-2.169735398025671
5271,145.00748,-37.81464,0,"Richmond (Vic.)","Melbourne - Inner","Education","Yarra","20643780000",118.68461564309699,724609.5000098017,86,526322.9138916433,7740.7911217113,26737.795911357738,53863.14437495924,109944.85471037589,0.0,0.0,0.4531497480164657,97.13139714468898,0.2458019296794554,0.724711334537639,0.375288975442913,1.3458022396600073
5269,144.99907,-37.82957,0,"Richmond (Vic.)","Melbourne - Inner","Education","Yarra","20643230000",253.24384442643097,687084.8150093858,174,200571.26675068837,89576.4302627701,9626.872632422204,300823.51410584117,30388.132496848702,0.0,56098.59876081209,0.7137718858739486,63.865356084582494,3.1685058138119455,-0.07041048962854125,1.9263017476834514,5.024397071866856
5261,144.95174,-37.73292,0,"Coburg","Melbourne - Inner","Education","Brunswick - Coburg","20467390000",50.159405291991476,578156.775009256,29,351455.2763411867,0.0,45187.27284117788,0.0,160133.79898126074,0.0,0.0,0.4381707466317454,41.97572495531909,-1.2426050734303737,-0.5936144200985595,0.2861460397963092,-1.550073453732624
5145,144.94197,-37.83679,0,"Port Melbourne","Melbourne - Inner","Education","Port Phillip","20529191000",153.61008601584516,807238.6600135695,124,578691.9492342478,146441.912679168,11969.363149769604,70135.43495033961,0.0,0.0,0.0,0.42293521575856874,111.63200609663453,1.004403244777273,1.0713035431073017,0.19547644752597038,2.271183235410545
5144,145.04074,-37.75629,0,"Heidelberg West","Melbourne - North East","Education","Banyule","20023060000",108.49785433788993,497705.69500692846,54,307198.50967392395,111921.35849007459,47867.5475691515,10888.571694132406,0.0,19025.756714835763,0.0,0.5483808001650518,30.194888991228677,0.024539611942786137,-0.8751988672843565,0.9420273937929753,0.0913681384514049
5109,144.93236,-37.77682,0,"Ascot Vale","Melbourne - Inner","Education","Essendon","20444190000",61.35747649034823,488937.9700079275,30,361873.3372401977,32217.39539567362,11624.47005015891,83222.76732210816,0.0,0.0,0.0,0.40712885996714754,42.250400970541286,-0.9993765228347931,-0.5870491394905197,0.10140976571370393,-1.485015896611609
5068,144.93526,-37.78578,0,"Flemington","Melbourne - Inner","Parkland","Essendon","20450820000",117.95611591232418,584963.3100100306,69,452431.00141852314,41960.031493803705,39459.08600072576,19188.292473226007,31550.523000248482,0.0,374.37562381336465,0.4336668493633747,107.12409292901768,0.2299784962964686,0.9635558212024945,0.25934247565732504,1.4528767931562883
5044,144.99574,-37.81363,0,"Richmond (Vic.)","Melbourne - Inner","Education","Yarra","20645250000",148.90842677526248,705131.3500106309,105,502602.5633746101,7131.896477928969,9129.64106898004,154395.62834211477,0.0,22497.72170476307,9373.899042117766,0.43373023142748507,95.37713829035133,0.9022805004024155,0.6827812023105925,0.2597196745851457,1.8447813772981536
4980,144.97044,-37.7956,0,"Carlton","Melbourne - Inner","Education","Melbourne City","20396640000",193.82422678096455,748100.4950111862,145,604254.3030402625,17177.001919891634,28856.003225329954,97813.18682583573,0.0,0.0,0.0,0.33439474717241535,118.41675819849638,1.8778775242747971,1.2334720577796772,-0.33144501342981914,2.7799045686246555
4764,145.02946,-37.73305,0,"Preston - East","Melbourne - North East","Education","Darebin - North","20148210000",87.96620162478654,363776.0800050647,32,289317.06391665386,10685.350694891531,38016.20344057144,19901.8203125766,0.0,0.0,0.0,0.3472226247482766,44.23233140198345,-0.4214197003602808,-0.5396772223702528,-0.2551038318077933,-1.216200754538327
4704,144.93562,-37.74572,0,"Pascoe Vale South","Melbourne - Inner","Education","Brunswick - Coburg","20471020000",81.24312189787986,775450.260013261,63,564859.3365252397,103788.62201558321,26194.943531945202,14438.05346148042,0.0,0.0,66169.30447875478,0.46179685460981335,37.00490505701161,-0.5674488609673329,-0.7124264956924786,0.4267495799773659,-0.8531257766824456
4679,144.9874,-37.764,0,"Northcote","Melbourne - Inner","Education","Darebin - South","20142240000",60.82425032363564,526105.9500073304,32,439252.04578711605,22889.926376635005,19369.34005823027,15162.680218177382,29431.957567245234,0.0,0.0,0.345400034693732,53.02167767012739,-1.0109585020320833,-0.3295950840921356,-0.26595041788983625,-1.606504004014055
