sa2_name_2016, SumZScore, M0_area_code, M0_area_name, M0_dwel_no_car_3_percent_6_11_6_11, M1_area_code, M0_child_jobfm_3_percent_6_11_6_11, M1_area_name, M2_area_code, M2_area_name, M0_ovrwght_p_me_2_rate_3_11_7_13, M0_obese_p_me_2_rate_3_11_7_13, M3_area_code, M3_area_name, M0_mntl_bh_p_me_2_rate_3_11_7_13
"Northcote",-0.7235792160790018,206021111,"Northcote",16.1831218974076,206021111,6.37883008356546,"Northcote",206021111,"Northcote",34.3573724906719,20.12172773856378,206021111,"Northcote",11.6019245158867
"Parkville",4.253693685430014,206041124,"Parkville",22.150676110753405,206041124,16.875,"Parkville",206041124,"Parkville",35.45054261244627,16.08530798672217,206041124,"Parkville",15.5023409442142
"Pascoe Vale South",-2.15367095149,206011109,"Pascoe Vale South",8.37773830669035,206011109,6.8121341138903695,"Pascoe Vale South",206011109,"Pascoe Vale South",34.95863276939316,23.620815983808114,206011109,"Pascoe Vale South",12.141729989069498
"Port Melbourne",1.6176986271899976,206051130,"Port Melbourne",12.0317994190491,206051130,10.0602409638554,"Port Melbourne",206051130,"Port Melbourne",33.83737141991947,16.734002545001886,206051130,"Port Melbourne",11.808987423929903
"Prahran - Windsor",1.1856231954499978,206061136,"Prahran - Windsor",22.3449131513648,206061136,8.01987224982257,"Prahran - Windsor",206061136,"Prahran - Windsor",32.79983220985094,15.711796510606908,206061136,"Prahran - Windsor",13.2519331641086
"Richmond (Vic.)",2.20636691498,206071144,"Richmond (Vic.)",21.851623690926687,206071144,16.7782591571485,"Richmond (Vic.)",206071144,"Richmond (Vic.)",33.6012858439028,15.9880701592293,206071144,"Richmond (Vic.)",12.1861995419201
"South Melbourne",1.7474031110000001,206051132,"South Melbourne",21.4089031665902,206051132,14.662756598240515,"South Melbourne",206051132,"South Melbourne",33.374695945238194,15.7857734906372,206051132,"South Melbourne",12.540293328573897
"South Yarra - East",5.0057459303,206061137,"South Yarra - East",25.492698142634286,206061137,15.564598168870798,"South Yarra - East",206061137,"South Yarra - East",32.79983220985094,15.711796510606908,206061137,"South Yarra - East",13.2519331641086
"South Yarra - West",2.52859839741,206041125,"South Yarra - West",20.080468178493,206041125,3.5040431266846377,"South Yarra - West",206041125,"South Yarra - West",34.3488425383701,13.865437488669514,206041125,"South Yarra - West",13.634218348867897
"Southbank",9.653816322920004,206041126,"Southbank",26.949384404924782,206041126,10.585585585585621,"Southbank",206041126,"Southbank",33.8531573433202,12.2466391322589,206041126,"Southbank",14.5084064943956
"St Kilda",1.2196882175199963,206051133,"St Kilda",25.6121045392022,206051133,9.038322487346338,"St Kilda",206051133,"St Kilda",34.07366610137027,16.727863353052715,206051133,"St Kilda",12.779564210215103
"St Kilda East",1.4293395127799966,206051134,"St Kilda East",20.068073519400986,206051134,6.534422403733967,"St Kilda East",206051134,"St Kilda East",34.07366610137027,16.727863353052715,206051134,"St Kilda East",12.779564210215103
"Thornbury",-2.0048622141399997,206021112,"Thornbury",16.622134720855,206021112,8.300550747442971,"Thornbury",206021112,"Thornbury",33.935302563886296,25.028233781114587,206021112,"Thornbury",12.096118748160098
"Toorak",-2.1445092440200035,206061138,"Toorak",10.4793147439402,206061138,8.150470219435755,"Toorak",206061138,"Toorak",34.68678292705193,13.954290626708907,206061138,"Toorak",13.1553770228675
"Yarra - North",-0.28851461947800044,206071145,"Yarra - North",10.310247571294306,206071145,5.23465703971119,"Yarra - North",206071145,"Yarra - North",33.55966579133644,15.668904599029807,206071145,"Yarra - North",11.4859637008653
